name,prestashop_code,locale
Aragonese,an,an-AR
Afrikaans,af,af-ZA
Spanish (Argentine),ag,es-AR
Arabic,ar,ar-SA
Azerbaidjani,az,az-AZ
Bulgarian,bg,bg-BG
Bengali,bn,bn-BD
Portuguese (Brazil),br,pt-BR
Bosnian,bs,bs-BA
Breton,bz,br-FR
Catalan,ca,ca-ES
Spanish (Columbia),cb,es-CO
Czech,cs,cs-CZ
Danish,da,da-DK
German,de,de-DE
Greek,el,el-GR
English,en,en-US
Spanish (Spain),es,es-ES
Estonian,et,et-EE
Basque / Euskera,eu,eu-ES
Persian,fa,fa-IR
Finnish,fi,fi-FI
Faroese,fo,fo-FO
French,fr,fr-FR
Irish,ga,ga-IE
English (United Kingdom),gb,en-GB
Galician,gl,gl-ES
Hebrew,he,he-IL
Hindi,hi,hi-IN
Croatian,hr,hr-HR
Hungarian,hu,hu-HU
Armenian,hy,hy-AM
Indonesian,id,id-ID
Italian,it,it-IT
Japanese,ja,ja-JP
Georgian,ka,ka-GE
Korean,ko,ko-KR
Lao,lo,lo-LA
Lithuanian,lt,lt-LT
Latvian,lv,lv-LV
Macedonian,mk,mk-MK
Malayalam,ml,ml-IN
Malay,ms,ms-MY
Mexican,mx,es-MX
Dutch,nl,nl-NL
Norwegian,no,no-NO
Polish,pl,pl-PL
Portuguese (Portugal),pt,pt-PT
Romanian,ro,ro-RO
Russian,ru,ru-RU
Sinhalese,sh,si-LK
Slovene,si,sl-SI
Slovak,sk,sk-SK
Albanian,sq,sq-AL
Serbian,sr,sr-Latn
Swedish,sv,sv-SE
Swahili,sw,sw-KE
Tamil,ta,ta-IN
Telugu,te,te-IN
Thai,th,th-TH
Turkish,tr,tr-TR
Chinese (Traditional),tw,zh-TW
Uyghur,ug,ug-CN
Ukrainian,uk,uk-UA
Urdu,ur,ur-PK
Vietnamese,vn,vi-VN
Chinese (Simplified),zh,zh-CN
Norwegian Nynorsk,nn,nn-NO
